Chemical,Endpoint Value,Endpoint Description,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type,Endpoint Value_numeric,Tox Exposure Duration_minutes
BENTAZON,4530 mg/L,LC50,NR,Tadpole,"Experimental Frog Farm, São Paulo",6.0,"600, 1200, 2400, 4800, 9600 mg/L",TOX-MORT - toxicity benchmarks,96 hr,Waterborne,Toxicity Factor Datasets,4530.0,5760.0
PENOXSULAM,7.52 mg/L,LC50,NR,Tadpole,"Experimental Frog Farm, São Paulo",6.0,"(+ vegetable oil adjuvant): 2.88 + 55.80; 4.32 + 83.70; 5.76 + 111.60; 7.20 mg/L
C 139.50; 8.64 + 167.40",TOX-MORT - toxicity benchmarks,96 hr,Waterborne,Toxicity Factor Datasets,7.52,5760.0
PERMETHRIN,0.10 mg/L,LC50,NR,Tadpole,"Experimental Frog Farm, São Paulo",6.0,"0.01, 0.03, 0.09, 0.27, 0.81 mg/L",TOX-MORT - toxicity benchmarks,96 hr,Waterborne,Toxicity Factor Datasets,0.1,5760.0
LIDOCAINE,87 ± 17 breaths/min,Reduced gular respiratory rate,NR,Adult,NR,10.0,5 mg/kg (4 mg/mL),TOX-Non-Repro-Sublethal - whole animal,60 min,Subcutaneous injection,Toxicity Factor Datasets,87.0,60.0
LIDOCAINE,See citation Figure 3,Heart rate,NR,Adult,NR,6.0,5 mg/kg (4 mg/mL),TOX-Non-Repro-Sublethal - whole animal,80 min,"Subcutaneous injection following sedation, surgery, recovery",Toxicity Factor Datasets,3.0,80.0
LIDOCAINE,See citation Figure 3,Mean arterial pressure,NR,Adult,NR,6.0,5 mg/kg (4 mg/mL),TOX-Non-Repro-Sublethal - whole animal,80 min,"Subcutaneous injection following sedation, surgery, recovery",Toxicity Factor Datasets,3.0,80.0
LIDOCAINE,See citation Figure 3,Mean arterial pressure,NR,Adult,NR,6.0,50 mg/kg (20 mg/mL),TOX-Non-Repro-Sublethal - whole animal,160 min,"Subcutaneous injection following sedation, surgery, recovery",Toxicity Factor Datasets,3.0,160.0
DIPHACINONE,0.333,% metabolism by liver microsome,M,Not Reported,"Castroville, CA",14.0,NR,TOX-Non-Repro-Sublethal - cellular/biochemical effects,NR,Environmental,Toxicity Factor Datasets,0.333,NR
TETRODOTOXIN,45.9,% speed reduction,Both,Neonate,Benton County,25.0,0.001 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Intraperitoneal injection,Toxicity Factor Datasets,45.9,NR
TETRODOTOXIN,54.7,% speed reduction,Both,Neonate,Benton County,25.0,0.04 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Oral,Toxicity Factor Datasets,54.7,NR
TETRODOTOXIN,71.6,% speed reduction,Both,Neonate,Benton County,25.0,0.04 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Oral,Toxicity Factor Datasets,71.6,NR
TETRODOTOXIN,62.6,% speed reduction,Both,Neonate,Bear Lake County,17.0,0.00005 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Intraperitoneal injection,Toxicity Factor Datasets,62.6,NR
TETRODOTOXIN,71.7,% speed reduction,Both,Neonate,Bear Lake County,17.0,0.002 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Oral,Toxicity Factor Datasets,71.7,NR
TETRODOTOXIN,85.8,% speed reduction,Both,Neonate,Bear Lake County,17.0,0.002 mg,TOX-Non-Repro-Sublethal - behavioral effects,Single,Oral,Toxicity Factor Datasets,85.8,NR
ATRAZINE,See citation Figure 1A,Larval period (d),Both,Embryo,"Eggs from Lincoln County, MT",80.0,"0, 1.84, 18.4, 184 µg/L",TOX-REPRO - development,30 d,Waterborne,Toxicity Factor Datasets,1.0,43200.0
ATRAZINE,See citation Figure 1B,Mass at metamorphosis (mg),Both,Embryo,"Eggs from Lincoln County, MT",80.0,"0, 1.84, 18.4, 184 µg/L",TOX-Non-Repro-Sublethal - whole animal,30 d,Waterborne,Toxicity Factor Datasets,1.0,43200.0
ATRAZINE,See citaiton Figure 1C,Body size at metamorphosis,Both,Embryo,"Eggs from Lincoln County, MT",80.0,"0, 1.84, 18.4, 184 µg/L",TOX-Non-Repro-Sublethal - whole animal,30 d,Waterborne,Toxicity Factor Datasets,1.0,43200.0
ENDOSULFAN,2.7 [1.7-3.7 (84% CI)] ppb,LC10,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10.0,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets,2.7,5760.0
ENDOSULFAN,21.4 [17.0-27.0 (84%CI)] ppb,LC50,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10.0,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets,21.4,5760.0
ENDOSULFAN,172 [117-283 (84% CI)] ppb,LC90,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10.0,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets,172.0,5760.0
ENDOSULFAN,7 ppb,LOEC,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10.0,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,4 d,Waterborne,Toxicity Factor Datasets,7.0,5760.0
ENDOSULFAN,1.7 [1.1-2.4 (84% CI)] ppb,LC10,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10.0,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,8 d,Waterborne,Toxicity Factor Datasets,1.7,11520.0
ENDOSULFAN,13.9 [11.1-17.5 (84% CI)] ppb,LC50,NR,Embryo,"Pymatuning Laboratory of Ecology, Pittsburgh, PA",10.0,"2, 6, 7, 35, 60, 296 ppb",TOX-MORT - toxicity benchmarks,8 d,Waterborne,Toxicity Factor Datasets,13.9,11520.0
