id,exposure_endpoint_type,chemical,endpoint_value,endpoint_description,units,sex,life_cycle_stage,sample_size,location,type,age_specific,california_counties,condition,countries,error,lab,species,endpoint_value_original,endpoint_description_original,units_original,endpoint_value_numeric,endpoint_value_text,units_extracted,units_standardized,endpoint_description_standardized,data_type,has_error_range,is_quantitative,is_qualitative,has_numeric_value,has_units,dataset_source
7266,Growth Rate,,3,Growth rate to front limb emergence per degree C increase,mg/d,,Tadpole,,,Exposure Factor Datasets,,,,USA,,,Amphibians,3,Growth rate to front limb emergence per degree C increase,mg/d,3,,,mg/d,Growth,quantitative,false,true,false,true,true,exposure
7268,Hatching Success,,See Figure 5A,Proportional hatchling survival by stream velocity,,B,Embryo,,,Exposure Factor Datasets,,,,USA,,,Amphibians,See Figure 5A,Proportional hatchling survival by stream velocity,,5,See Figure 5A,,,Other,quantitative,false,true,false,true,false,exposure
7271,Body length,,,Snout-vent length,mm,NR,Adult,NR,,Exposure Factor Datasets,,,,USA,,,Amphibians,,Snout-vent length,mm,,,,mm,Other,unknown,false,false,false,false,true,exposure
7273,Body length,,58.9,Snout-vent length,mm,M,Adult,62,,Exposure Factor Datasets,,,,,,,Amphibians,58.9,Snout-vent length,mm,58.9,,,mm,Other,quantitative,false,true,false,true,true,exposure
7274,Body length,,61.9,Snout-vent length,mm,F,Adult,41,,Exposure Factor Datasets,,,,,,,Amphibians,61.9,Snout-vent length,mm,61.9,,,mm,Other,quantitative,false,true,false,true,true,exposure
7276,Body length,,76,Snout-vent length,mm,,Adult,,,Exposure Factor Datasets,,,,,,,Amphibians,76,Snout-vent length,mm,76,,,mm,Other,quantitative,false,true,false,true,true,exposure
7278,Age at Sexual Maturity,,,,y,B,Adult,,,Exposure Factor Datasets,,,,,,,Amphibians,,,y,,,,y,,unknown,false,false,false,false,true,exposure
7280,Time of Hatching or Parturition,,Autumn,,,B,Embryo,,,Exposure Factor Datasets,,,,,,,Amphibians,Autumn,,,,Autumn,,,,text,false,false,false,false,false,exposure
7288,Growth Rate,,0.02,Growth rate to front limb emergence per degree C increase,mm/d,,Tadpole,,,Exposure Factor Datasets,,,,USA,,,Amphibians,0.02,Growth rate to front limb emergence per degree C increase,mm/d,0.02,,,mm/d,Growth,quantitative,false,true,false,true,true,exposure
7267,Time of Mating/ Laying,,Few days post migration,Time of spawning,,B,Adult,,"34.1495900, -118.2580637",Exposure Factor Datasets,,,,USA,,,Amphibians,Few days post migration,Time of spawning,,,Few days post migration,,,Other,text,false,false,false,false,false,exposure
7269,Time of Hatching or Parturition,,2 to 4,Time of egg hatching post deposition,weeks,B,Embryo,,"34.1495900, -118.2580637",Exposure Factor Datasets,,,,USA,,,Amphibians,2 to 4,Time of egg hatching post deposition,weeks,2,2 to 4,,weeks,Other,quantitative,false,true,false,true,true,exposure
7272,Body length,,,Snout-vent length,mm,B,Juvenile,,"40.43975, -84.04118",Exposure Factor Datasets,,,,USA,,,Amphibians,,Snout-vent length,mm,,,,mm,Other,unknown,false,false,false,false,true,exposure
7290,Population Density,,"1992-1993: 65, 1993-1994: 121",Breeding population size,mm,M,Adult,,"37.98165, -122.02583",Exposure Factor Datasets,,Contra Costa,,USA,,,Amphibians,"1992-1993: 65, 1993-1994: 121",Breeding population size,mm,1992,"1992-1993: 65, 1993-1994: 121",,mm,Other,quantitative,false,true,false,true,true,exposure
7291,Population Density,,"1992-1993: 81, 1993-1994: 15",Breeding population size,mm,F,Adult,,"37.98165, -122.02583",Exposure Factor Datasets,,Contra Costa,,USA,,,Amphibians,"1992-1993: 81, 1993-1994: 15",Breeding population size,mm,1992,"1992-1993: 81, 1993-1994: 15",,mm,Other,quantitative,false,true,false,true,true,exposure
7292,Population Density,,"1991-1992: 1248, 1992-1993: 481, 1993-1994: 3",,mm,B,Juvenile,,"37.98165, -122.02583",Exposure Factor Datasets,,Contra Costa,,USA,,,Amphibians,"1991-1992: 1248, 1992-1993: 481, 1993-1994: 3",,mm,1991,"1991-1992: 1248, 1992-1993: 481, 1993-1994: 3",,mm,,quantitative,false,true,false,true,true,exposure
7293,Body length,,See citation Figure 4,Snout-vent length,mm,B,Juvenile,,"37.98165, -122.02583",Exposure Factor Datasets,,Contra Costa,,USA,,,Amphibians,See citation Figure 4,Snout-vent length,mm,4,See citation Figure 4,,mm,Other,mixed,false,false,false,true,true,exposure
7294,Body length,,200.3,Snout-vent length,mm,M,Adult,65-121,"37.98165, -122.02583",Exposure Factor Datasets,,Contra Costa,,USA,,,Amphibians,200.3,Snout-vent length,mm,200.3,,,mm,Other,quantitative,false,true,false,true,true,exposure
7284,Time of Mating/ Laying,,45832,Start time of egg mass deposition,,,Embryo,,"38.81381, -90.46091",Exposure Factor Datasets,,,,USA,,,Amphibians,45832,Start time of egg mass deposition,,45832,,,,Other,quantitative,false,true,false,true,false,exposure
7275,Population Density,,"BP: 45, SK: 8, LC: 89, CRP: 1, SP: 7, HP: 0, WP: 43, CP: 17, TP: 27, AP: n/a",Annual estimated breeding population per pond,No. individuals,M,Adult,,"33.64908, -97.04035",Exposure Factor Datasets,,Monterey,Breeding,USA,,,Amphibians,"BP: 45, SK: 8, LC: 89, CRP: 1, SP: 7, HP: 0, WP: 43, CP: 17, TP: 27, AP: n/a",Annual estimated breeding population per pond,No. individuals,45,"BP: 45, SK: 8, LC: 89, CRP: 1, SP: 7, HP: 0, WP: 43, CP: 17, TP: 27, AP: n/a",,count,Other,quantitative,false,true,false,true,true,exposure
7277,Population Density,,"BP: 13, SK: 0, LC: 32, CRP: 0, SP: 1, HP: 1, WP: 7, CP: 4, TP: 6, AP: n/a",Annual estimated breeding population per pond,No. individuals,F,Adult,,"33.64908, -97.04035",Exposure Factor Datasets,,Monterey,Breeding,USA,,,Amphibians,"BP: 13, SK: 0, LC: 32, CRP: 0, SP: 1, HP: 1, WP: 7, CP: 4, TP: 6, AP: n/a",Annual estimated breeding population per pond,No. individuals,13,"BP: 13, SK: 0, LC: 32, CRP: 0, SP: 1, HP: 1, WP: 7, CP: 4, TP: 6, AP: n/a",,count,Other,quantitative,false,true,false,true,true,exposure
