id,exposure_endpoint_type,chemical,endpoint_value,endpoint_description,units,sex,life_cycle_stage,sample_size,location,type,age_specific,california_counties,condition,countries,error,lab,species,endpoint_value_original,endpoint_description_original,units_original,endpoint_value_numeric,endpoint_value_text,units_extracted,units_standardized,endpoint_description_standardized,data_type,has_error_range,is_quantitative,is_qualitative,has_numeric_value,has_units,dataset_source
7217,,CARBARYL,585 ug/L ± 229,LC50,,B,Tadpole,100,,Toxicity Factor Datasets,,Nevada,,USA,,,Amphibians,585 ug/L ± 229,LC50,,585,585 ug/L ± 229,,,LC50,quantitative,true,true,false,true,false,toxicity
7220,,CARBARYL,No effect,LC50 (competition due to exposure),,B,Tadpole,20,,Toxicity Factor Datasets,,Nevada,,USA,,,Amphibians,No effect,LC50 (competition due to exposure),,,No effect,,,LC50,qualitative,false,false,true,false,false,toxicity
7222,,MALATHION,See citation,Ecological risk assessment modeling,,,,,,Toxicity Factor Datasets,,,,,,,Amphibians,See citation,Ecological risk assessment modeling,,,See citation,,,Other,qualitative,false,false,true,false,false,toxicity
7224,,CARBARYL,Slightly reduced,Development rate,,B,Tadpole,60,,Toxicity Factor Datasets,,Nevada,,USA,,,Amphibians,Slightly reduced,Development rate,,,Slightly reduced,,,Development,text,false,false,false,false,false,toxicity
7226,,CARBARYL,0.2,Mortality,,NR,Not Reported,,,Toxicity Factor Datasets,,,,,,,Amphibians,0.2,Mortality,,0.2,,,,Mortality,quantitative,false,true,false,true,false,toxicity
7230,,CARBARYL,0.2,Mortality,,NR,Not Reported,,Collected from Garcia River,Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,0.2,Mortality,,0.2,,,,Mortality,quantitative,false,true,false,true,false,toxicity
7233,,CARBARYL,,Tissue concentration,,NR,Not Reported,,Collected from Garcia River,Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,,Tissue concentration,,,,,,Bioaccumulation,unknown,false,false,false,false,false,toxicity
7236,,CARBARYL,See citation Figure 1,Growth,,NR,Not Reported,,Collected from Garcia River,Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,See citation Figure 1,Growth,,1,See citation Figure 1,,,Growth,mixed,false,false,false,true,false,toxicity
7239,,CARBARYL,"Day 3: decreased, 7-70: no effect",Total skin peptide concentration,,NR,Not Reported,,Collected from Garcia River,Toxicity Factor Datasets,,Mendocino,,USA,,,Amphibians,"Day 3: decreased, 7-70: no effect",Total skin peptide concentration,,3,"Day 3: decreased, 7-70: no effect",,,Other,mixed,false,false,false,true,false,toxicity
7211,,ENDOSULFAN,Decreased,Snout-vent length,,B,Tadpole,18/treatment,"52.35263, -122.27928",Toxicity Factor Datasets,,Lake,,USA,,,Amphibians,Decreased,Snout-vent length,,,Decreased,,,Other,qualitative,false,false,true,false,false,toxicity
7212,,CHLORPYRIFOS,Increased,Time to metamorphosis,,B,Tadpole,18/treatment,"52.35263, -122.27928",Toxicity Factor Datasets,,Lake,,USA,,,Amphibians,Increased,Time to metamorphosis,,,Increased,,,Other,qualitative,false,false,true,false,false,toxicity
